"Product ID","Name","UPC/PLU","Modifier","Department","Department Code","Retail Price","Unit Cost","In Stock","Taxable Override","Foodstampable Override","Fractional Override","Tags","Price Level 1","Price Level 2","Price Level 3","Price Level 4","Price Level 5","Price Level 6","Price Level 7","Price Level 8","Price Level 9","Linked Product"
"35350839","Mtn Dew Baja Blast Soda 20 Oz","00012000130274","0","Soda/Energy Beverages","19","$2.25",,"0",,,,,,,,,,,,,,
"35351878","Mtn Dew Baja Blast 12fl Oz","00012000130311","0","Soda/Energy Beverages","19","$1.17",,"0",,,,,,,,,,,,,,
"35350965","Brisk Iced Tea Strawberry 1 L","00012000161230","0","Drinks","8","$1.50",,"0",,,,,,,,,,,,,,
"35350479","Pepsi Mini 7.5 Fl","00012000163135","0","Soda/Energy Beverages","19","$0.84",,"0",,,,,,,,,,,,,,
"35350484","Mtn Dew Mini 7.5 Fl","00012000163173","0","Soda/Energy Beverages","19","$0.84",,"0",,,,,,,,,,,,,,
"35351344","Pepsi: Diet 16.9 Oz","00012000171956","0","Soda/Energy Beverages","19","$1.59",,"0",,,,,,,,,,,,,,
"35352911","Pepsi:zero Sugar Wild Cherry 16.9 Oz","00012000172564","0","Soda/Energy Beverages","19","$2.25",,"0",,,,,,,,,,,,,,
"35351938","Mtn Dew Baja Blast","00012000172663","0","Soda/Energy Beverages","19","$1.59",,"0",,,,,,,,,,,,,,
"35352647","Pepsi 16.9 Fl Oz","00012000182563","0","Soda/Energy Beverages","19","$2.25",,"0",,,,,,,,,,,,,,
"35350746","Dole Fruit Punch","00012000190063","0","Grocery Non-taxable","3","$2.30",,"0",,,,,,,,,,,,,,
"35350773","Lipton Brisk:lemon 1.00 Lt","00012000202384","0","Drinks","8","$1.76",,"0",,,,,,,,,,,,,,
"35350480","Starry Lemon Lime Mini 7.5 Fl","00012000221446","0","Soda/Energy Beverages","19","$0.84",,"0",,,,,,,,,,,,,,
"35352302","Starry 2l","00012000221477","0","Soda/Energy Beverages","19","$3.75",,"0",,,,,,,,,,,,,,
"35351821","Starry Lemon Lime 16.9 Fl Oz","00012000221507","0","Soda/Energy Beverages","19","$1.59",,"0",,,,,,,,,,,,,,
"35351934","Starry Can (12 Fl Oz)","00012000221545","0","Soda/Energy Beverages","19","$1.17",,"0",,,,,,,,,,,,,,
"35352303","Dew Baja Blast 2l","00012000240140","0","Soda/Energy Beverages","19","$3.75",,"0",,,,,,,,,,,,,,
"39356053","Pure Leaf Sweet Tea 18 Oz","00012000286193","0","Drinks","8","$2.35","$0.00","0",,,,,,,,,,,,,,
"39356051","Pure Leaf Tea Unsweetened 18.5 Oz","00012000286209","0","Drinks","8","$2.35","$0.00","0",,,,,,,,,,,,,,
"35350616","Lipton Brisk: Pink Lemonade 1.00 Lt","00012000384196","0","General Food","7","$1.50",,"0",,,,,,,,,,,,,,
"35351828","Pepsi 16.9 Oz","00012000504051","0","Soda/Energy Beverages","19","$1.59",,"0",,,,,,,,,,,,,,
"35351731","Mtn Dew 16.9 Oz","00012000504082","0","Soda/Energy Beverages","19","$1.59",,"0",,,,,,,,,,,,,,
"35350429","Lipton Brisk:fruit Punch 1.00 Lt","00012000567490","0","General Food","7","$1.62",,"0",,,,,,,,,,,,,,
"43223000","Pepsi Cola, 12 oz, 12pk","00012000809941","0","Drinks","8","$20.00",,"0",,,,,,,,,,,,,,
"35352214","Pepsi Wild Cherry (16.9 Fl Oz)","00012000811197","0","Soda/Energy Beverages","19","$2.25",,"0",,,,,,,,,,,,,,
"35352220","Brisk Iced Tea (16.9 Fl Oz)","00012000811203","0","Drinks","8","$1.59",,"0",,,,,,,,,,,,,,
"35777737","Starbucks Frappuccino Chilled 13.7 Oz","00012000813313","0","Soda/Energy Beverages","19","$4.20",,"0",,,,,,,,,,,,,,
"35351835","Roma Biodegradable Laundry Detergent 17.","00012005404660","0","Household","6","$4.16",,"0",,,,,,,,,,,,,,
"35352085","Roma Laundry Detergent 8.83 Oz","00012005404677","0","Household","6","$2.60",,"0",,,,,,,,,,,,,,
"35351780","Old Spice Deodorant 3 Oz","00012044038840","0","Household","6","$5.00",,"0",,,,,,,,,,,,,,
"35351649","Old Spice Pure Sport 3 Fl Oz","00012044038918","0","Household","6","$5.00",,"0",,,,,,,,,,,,,,
"35351349","Old Spice Classic Deodorant 3.25 Oz","00012044389706","0","Household","6","$6.00",,"0",,,,,,,,,,,,,,
"35350820","Winston Wins Gold Box 20 Ct","00012300000192","0","Tobacco","4","$6.12",,"0",,,,,,,,,,,,,,
"35350612","Salem Gold Box 100s 1","00012300000253","0","Tobacco","4","$6.06",,"0",,,,,,,,,,,,,,
"35350895","Salem Slim 100s 1","00012300000260","0","Tobacco","4","$7.33",,"0",,,,,,,,,,,,,,
"35351979","More 120s","00012300000550","0","Tobacco","4","$9.99",,"0",,,,,,,,,,,,,,
"35352136","More Menthol 120s","00012300000604","0","Tobacco","4","$9.99",,"0",,,,,,,,,,,,,,
"35352546","Camel Crush Menthol","00012300000932","0","Tobacco","4","$11.65",,"0",,,,"Sams Tobacco",,,,,,,,,,
"35352780","Camel Crush Silver","00012300000949","0","Tobacco","4","$11.64",,"'-11",,,,"Sams Tobacco",,,,,,,,,,
"35352298","Camel Crush Regular Fresh Box Fsc 1.00 P","00012300197410","0","Tobacco","4","$11.65",,"0",,,,"Sams Tobacco",,,,,,,,,,
